"","BE010101","BE010102","BE010103","BE010104","BE010105","BE010106","BE010107","BE010108","BE010109","BE010110","BE010111","BE010112","BE010113","BE010114","BE010115","BE010116","BE010117","BE010118","BE010119"
"1981 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.54,-3.15,"_","_","_"
"1981 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.70,-3.01,"_","_","_"
"1982 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.70,-2.95,"_","_","_"
"1982 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.33,-2.27,"_","_","_"
"1982 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.15,-2.03,"_","_","_"
"1982 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.21,-2.15,"_","_","_"
"1983 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.57,-2.45,"_","_","_"
"1983 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.56,-2.68,"_","_","_"
"1983 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.38,-2.41,"_","_","_"
"1983 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.19,-2.15,"_","_","_"
"1984 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.08,-1.80,"_","_","_"
"1984 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.17,-2.01,"_","_","_"
"1984 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.14,-1.94,"_","_","_"
"1984 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.01,-1.82,"_","_","_"
"1985 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.17,-1.57,"_","_","_"
"1985 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.60,-0.91,"_","_","_"
"1985 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.69,-0.56,"_","_","_"
"1985 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.85,-0.06,"_","_","_"
"1986 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.09,0.27,"_","_","_"
"1986 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.13,0.40,"_","_","_"
"1986 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.31,0.25,"_","_","_"
"1986 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.49,0.05,"_","_","_"
"1987 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.35,-0.39,"_","_","_"
"1987 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.41,-0.52,"_","_","_"
"1987 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.42,-0.31,"_","_","_"
"1987 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.32,-0.28,"_","_","_"
"1988 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.45,-0.04,"_","_","_"
"1988 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.49,0.29,"_","_","_"
"1988 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.52,0.33,"_","_","_"
"1988 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.52,0.51,"_","_","_"
"1989 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.72,1.03,"_","_","_"
"1989 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.71,0.98,"_","_","_"
"1989 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.71,1.36,"_","_","_"
